# Weather station Nottingham, UK, WMO_ID=3354,selection from 11.11.2020 till 21.12.2020, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3354&lang=en
#
"Local time in Nottingham";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2020 20:00";"4.6";"748.5";"759.3";"1.1";"89";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"2.9";"";"";"";"";"";"";
"20.12.2020 19:00";"5.2";"748.2";"759.0";"1.1";"88";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"3.3";"";"";"";"";"";"";
"20.12.2020 18:00";"5.4";"747.8";"758.6";"1.0";"88";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"8.1";"";"";"2500 or more, or no clouds.";"";"";"45.0";"3.6";"0.6";"12";"";"";"";"";
"20.12.2020 17:00";"5.8";"747.4";"758.2";"0.9";"91";"Wind blowing from the south-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"4.5";"";"";"";"";"";"";
"20.12.2020 16:00";"6.5";"747.1";"757.9";"0.9";"92";"Wind blowing from the south-west";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"10.0";"5.3";"";"";"";"";"";"";
"20.12.2020 15:00";"6.6";"746.8";"757.6";"0.7";"85";"Wind blowing from the west-southwest";"3";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"4.2";"";"";"";"";"";"";
"20.12.2020 14:00";"7.4";"746.5";"757.2";"0.5";"87";"Wind blowing from the west-southwest";"4";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"23.0";"5.3";"";"";"";"";"";"";
"20.12.2020 13:00";"8.1";"746.2";"756.9";"0.2";"82";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"35.0";"5.1";"";"";"";"";"";"";
"20.12.2020 12:00";"6.9";"746.1";"756.8";"0.5";"83";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"35.0";"4.1";"No precipitation";"6";"";"";"";"";
"20.12.2020 11:00";"7.0";"746.0";"756.7";"0.8";"82";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.1";"";"";"";"";"";"";
"20.12.2020 10:00";"6.0";"746.0";"756.8";"1.3";"85";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"3.7";"";"";"";"";"";"";
"20.12.2020 09:00";"5.2";"745.6";"756.4";"1.1";"90";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"29.0";"3.7";"";"";"";"";"";"";
"20.12.2020 08:00";"4.7";"745.2";"756.0";"1.1";"91";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"24.0";"3.4";"";"";"";"";"";"";
"20.12.2020 07:00";"4.8";"744.7";"755.5";"0.8";"90";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"3.3";"";"";"";"";"";"";
"20.12.2020 06:00";"5.3";"744.5";"755.3";"0.8";"88";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"5.2";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"3.5";"0.2";"12";"";"";"";"";
"20.12.2020 05:00";"5.6";"744.1";"754.9";"0.6";"90";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"4.0";"";"";"";"";"";"";
"20.12.2020 04:00";"5.7";"743.9";"754.6";"0.6";"89";"Wind blowing from the south-southwest";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"4.0";"";"";"";"";"";"";
"20.12.2020 03:00";"6.0";"743.7";"754.4";"0.5";"89";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.3";"";"";"";"";"";"";
